x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-329.6750E-06,+45.5518836E-03,+1.1997485161E+00,-100.5025115E-03,+1.9933483678E+00
-329.3375E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-329.0000E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-328.6625E-06,+41.4573369E-03,+1.1764840451E+00,-101.4330903E-03,+1.9914648763E+00
-328.3250E-06,+41.4573369E-03,+1.0973848436E+00,-104.5970583E-03,+1.9914648763E+00
-327.9875E-06,+41.4573369E-03,+1.1997485161E+00,-101.4330903E-03,+1.9910368101E+00
-327.6500E-06,+42.3879157E-03,+1.2230129871E+00,-104.1317688E-03,+1.9895813848E+00
-327.3125E-06,+45.5518836E-03,+1.3021121886E+00,-97.9899487E-03,+1.9914648763E+00
-326.9750E-06,+41.4573369E-03,+1.2230129871E+00,-98.4552381E-03,+1.9914648763E+00
-326.6375E-06,+40.5267581E-03,+1.3021121886E+00,-100.9678009E-03,+1.9914648763E+00
-326.3000E-06,+37.3627901E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-325.9625E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-325.6250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-325.2875E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-324.9500E-06,+42.3879157E-03,+1.1997485161E+00,-102.0844955E-03,+1.9914648763E+00
-324.6125E-06,+45.5518836E-03,+1.1764840451E+00,-97.9899487E-03,+1.9914648763E+00
-324.2750E-06,+41.4573369E-03,+1.0973848436E+00,-98.9205275E-03,+1.9914648763E+00
-323.9375E-06,+41.4573369E-03,+1.2230129871E+00,-103.4803637E-03,+1.9914648763E+00
-323.6000E-06,+40.5267581E-03,+1.3021121886E+00,-104.5970583E-03,+1.9914648763E+00
-323.2625E-06,+37.3627901E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-322.9250E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-322.5875E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-322.2500E-06,+40.5267581E-03,+1.1764840451E+00,-100.9678009E-03,+1.9914648763E+00
-321.9125E-06,+37.3627901E-03,+1.0973848436E+00,-102.5497849E-03,+1.9918929426E+00
-321.5750E-06,+42.3879157E-03,+1.1997485161E+00,-100.5025115E-03,+1.9933483678E+00
-321.2375E-06,+45.5518836E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-320.9000E-06,+42.3879157E-03,+1.1997485161E+00,-101.4330903E-03,+1.9910368101E+00
-320.5625E-06,+46.4824624E-03,+1.1997485161E+00,-105.0623477E-03,+1.9895813848E+00
-320.2250E-06,+45.5518836E-03,+1.2230129871E+00,-103.0150743E-03,+1.9910368101E+00
-319.8875E-06,+40.5267581E-03,+1.3021121886E+00,-102.5497849E-03,+1.9887252523E+00
-319.5500E-06,+36.4322113E-03,+1.1997485161E+00,-100.5025115E-03,+1.9872698271E+00
-319.2125E-06,+37.3627901E-03,+1.2230129871E+00,-100.5025115E-03,+1.9891533186E+00
-318.8750E-06,+40.5267581E-03,+1.3021121886E+00,-100.9678009E-03,+1.9900094511E+00
-318.5375E-06,+37.3627901E-03,+1.1997485161E+00,-102.5497849E-03,+1.9933483678E+00
